transaction_id,date,customer_id,product_id,region_id,quantity,revenue,cost,profit
1,2023-01-01,461,2,4,2,656.46,566.35,90.11
2,2023-01-01,492,1,1,5,1429.76,938.55,491.21
3,2023-01-01,255,5,5,1,35.21,25.49,9.72
4,2023-01-01,91,3,5,3,237.18,186.75,50.43
5,2023-01-01,339,5,5,2,83.49,60.16,23.33
6,2023-01-01,482,2,3,4,797.79,647.85,149.94
7,2023-01-01,31,6,1,2,60.25,50.58,9.67
8,2023-01-01,395,6,3,4,101.49,77.76,23.73
9,2023-01-01,410,6,2,1,31.71,25.87,5.84
10,2023-01-01,203,5,4,2,97.38,64.48,32.9
11,2023-01-01,410,1,2,4,1037.49,660.01,377.48
12,2023-01-01,204,4,4,4,316.06,179.86,136.2
13,2023-01-01,344,3,4,1,92.0,66.14,25.86
14,2023-01-02,83,6,1,2,59.12,48.16,10.96
15,2023-01-02,302,2,2,1,239.61,207.05,32.56
16,2023-01-02,94,6,5,2,51.54,40.02,11.52
17,2023-01-02,497,3,4,4,422.91,326.18,96.73
18,2023-01-02,457,4,4,5,454.58,236.18,218.4
19,2023-01-03,130,4,5,1,58.41,30.96,27.45
20,2023-01-03,291,3,1,5,430.92,317.83,113.09
21,2023-01-03,224,1,1,3,678.9,468.8,210.1
22,2023-01-03,418,2,1,5,1365.72,1104.93,260.79
23,2023-01-03,180,2,1,3,801.72,709.22,92.5
24,2023-01-03,469,4,1,3,182.91,104.42,78.49
25,2023-01-03,482,1,3,1,187.15,129.85,57.3
26,2023-01-03,406,6,2,2,51.06,41.85,9.21
27,2023-01-04,439,1,4,1,362.69,229.68,133.01
28,2023-01-04,159,3,1,2,187.87,141.37,46.5
29,2023-01-04,416,1,4,1,346.74,231.8,114.94
30,2023-01-04,463,5,5,3,105.25,71.26,33.99
31,2023-01-04,303,3,4,2,208.36,154.3,54.06
32,2023-01-04,469,4,1,4,270.86,148.71,122.15
33,2023-01-04,148,6,2,2,66.68,51.16,15.52
34,2023-01-05,264,1,2,1,224.62,138.75,85.87
35,2023-01-05,457,4,4,1,74.27,40.66,33.61
36,2023-01-05,396,6,4,3,107.36,80.62,26.74
37,2023-01-05,463,5,5,2,70.83,46.69,24.14
38,2023-01-05,291,5,1,3,109.37,71.39,37.98
39,2023-01-05,197,4,1,3,185.9,105.11,80.79
