region_name,category,revenue,profit
Central,Electronics,374685.11,89692.81
Central,Home,66721.85,15987.40
Central,Fashion,47814.37,21042.21
Central,Health,31732.31,9008.78
Central,Office,22416.72,4290.04
East,Electronics,458310.53,111840.35
East,Home,66902.36,15929.17
East,Fashion,49318.12,21743.14
East,Health,33682.70,9611.56
East,Office,28138.96,5465.22
North,Electronics,796718.46,190233.06
North,Home,136224.99,32284.44
North,Fashion,104817.03,46246.26
North,Health,59792.26,17434.83
North,Office,44413.15,8248.07
South,Electronics,609274.43,149522.76
South,Home,97548.93,23322.36
South,Fashion,74768.93,32749.97
South,Health,47450.28,13817.14
South,Office,39870.33,7521.95
West,Electronics,1053371.62,261855.45
West,Home,174269.81,42319.94
West,Fashion,137664.80,60497.51
West,Health,88722.19,25688.42
West,Office,68094.51,13001.92
