year_val,month_val,month_name,monthly_revenue,monthly_profit
2023,1,January,104209.61,28738.91
2023,2,February,84675.05,22399.41
2023,3,March,104335.88,27911.82
2023,4,April,84777.88,23106.99
2023,5,May,95734.39,25708.34
2023,6,June,129444.07,32481.47
2023,7,July,115485.52,30320.04
2023,8,August,117156.67,32236.39
2023,9,September,98622.42,26263.54
2023,10,October,104389.99,30231.93
2023,11,November,136529.32,38255.45
2023,12,December,172922.20,49401.92
2024,1,January,135751.55,36055.96
2024,2,February,95474.79,26284.36
2024,3,March,121655.59,31933.41
2024,4,April,113400.87,29185.78
2024,5,May,119246.59,31762.81
2024,6,June,125305.78,32863.50
2024,7,July,123023.47,19481.53
2024,8,August,130308.78,20822.42
2024,9,September,110600.29,17818.20
2024,10,October,145523.84,38587.13
2024,11,November,177436.69,48944.21
2024,12,December,167378.52,45756.08
2025,1,January,120276.25,31776.68
2025,2,February,91581.08,24237.87
2025,3,March,159087.32,43653.96
2025,4,April,138311.09,37098.87
2025,5,May,135423.93,36836.17
2025,6,June,158796.58,41590.60
2025,7,July,138954.29,36667.97
2025,8,August,138610.62,36715.46
2025,9,September,134386.94,35090.21
2025,10,October,166698.91,46043.12
2025,11,November,211642.45,58940.87
2025,12,December,205565.53,54151.38
