year_val,month_val,month_name,revenue,prev_month_revenue,mom_growth_pct
2023,1,January,104209.61,NULL,NULL
2023,2,February,84675.05,104209.61,-18.75
2023,3,March,104335.88,84675.05,23.22
2023,4,April,84777.88,104335.88,-18.75
2023,5,May,95734.39,84777.88,12.92
2023,6,June,129444.07,95734.39,35.21
2023,7,July,115485.52,129444.07,-10.78
2023,8,August,117156.67,115485.52,1.45
2023,9,September,98622.42,117156.67,-15.82
2023,10,October,104389.99,98622.42,5.85
2023,11,November,136529.32,104389.99,30.79
2023,12,December,172922.20,136529.32,26.66
2024,1,January,135751.55,172922.20,-21.50
2024,2,February,95474.79,135751.55,-29.67
2024,3,March,121655.59,95474.79,27.42
2024,4,April,113400.87,121655.59,-6.79
2024,5,May,119246.59,113400.87,5.15
2024,6,June,125305.78,119246.59,5.08
2024,7,July,123023.47,125305.78,-1.82
2024,8,August,130308.78,123023.47,5.92
2024,9,September,110600.29,130308.78,-15.12
2024,10,October,145523.84,110600.29,31.58
2024,11,November,177436.69,145523.84,21.93
2024,12,December,167378.52,177436.69,-5.67
2025,1,January,120276.25,167378.52,-28.14
2025,2,February,91581.08,120276.25,-23.86
2025,3,March,159087.32,91581.08,73.71
2025,4,April,138311.09,159087.32,-13.06
2025,5,May,135423.93,138311.09,-2.09
2025,6,June,158796.58,135423.93,17.26
2025,7,July,138954.29,158796.58,-12.50
2025,8,August,138610.62,138954.29,-0.25
2025,9,September,134386.94,138610.62,-3.05
2025,10,October,166698.91,134386.94,24.04
2025,11,November,211642.45,166698.91,26.96
2025,12,December,205565.53,211642.45,-2.87
