year_val,month_name,revenue,revenue_last_year,yoy_growth_pct
2023,January,104209.61,NULL,NULL
2023,February,84675.05,NULL,NULL
2023,March,104335.88,NULL,NULL
2023,April,84777.88,NULL,NULL
2023,May,95734.39,NULL,NULL
2023,June,129444.07,NULL,NULL
2023,July,115485.52,NULL,NULL
2023,August,117156.67,NULL,NULL
2023,September,98622.42,NULL,NULL
2023,October,104389.99,NULL,NULL
2023,November,136529.32,NULL,NULL
2023,December,172922.20,NULL,NULL
2024,January,135751.55,104209.61,30.27
2024,February,95474.79,84675.05,12.75
2024,March,121655.59,104335.88,16.60
2024,April,113400.87,84777.88,33.76
2024,May,119246.59,95734.39,24.56
2024,June,125305.78,129444.07,-3.20
2024,July,123023.47,115485.52,6.53
2024,August,130308.78,117156.67,11.23
2024,September,110600.29,98622.42,12.15
2024,October,145523.84,104389.99,39.40
2024,November,177436.69,136529.32,29.96
2024,December,167378.52,172922.20,-3.21
2025,January,120276.25,135751.55,-11.40
2025,February,91581.08,95474.79,-4.08
2025,March,159087.32,121655.59,30.77
2025,April,138311.09,113400.87,21.97
2025,May,135423.93,119246.59,13.57
2025,June,158796.58,125305.78,26.73
2025,July,138954.29,123023.47,12.95
2025,August,138610.62,130308.78,6.37
2025,September,134386.94,110600.29,21.51
2025,October,166698.91,145523.84,14.55
2025,November,211642.45,177436.69,19.28
2025,December,205565.53,167378.52,22.81
