year_val,month_val,monthly_revenue,running_total_revenue
2023,1,104209.61,104209.61
2023,2,84675.05,188884.66
2023,3,104335.88,293220.54
2023,4,84777.88,377998.42
2023,5,95734.39,473732.81
2023,6,129444.07,603176.88
2023,7,115485.52,718662.40
2023,8,117156.67,835819.07
2023,9,98622.42,934441.49
2023,10,104389.99,1038831.48
2023,11,136529.32,1175360.80
2023,12,172922.20,1348283.00
2024,1,135751.55,1484034.55
2024,2,95474.79,1579509.34
2024,3,121655.59,1701164.93
2024,4,113400.87,1814565.80
2024,5,119246.59,1933812.39
2024,6,125305.78,2059118.17
2024,7,123023.47,2182141.64
2024,8,130308.78,2312450.42
2024,9,110600.29,2423050.71
2024,10,145523.84,2568574.55
2024,11,177436.69,2746011.24
2024,12,167378.52,2913389.76
2025,1,120276.25,3033666.01
2025,2,91581.08,3125247.09
2025,3,159087.32,3284334.41
2025,4,138311.09,3422645.50
2025,5,135423.93,3558069.43
2025,6,158796.58,3716866.01
2025,7,138954.29,3855820.30
2025,8,138610.62,3994430.92
2025,9,134386.94,4128817.86
2025,10,166698.91,4295516.77
2025,11,211642.45,4507159.22
2025,12,205565.53,4712724.75
